EPIC,fund_period,fund_power,sig_period,sig_power,sec_period,sec_power,num_sig,harm_type,threshold,SpotEvol,MultiProt,Q,Q2,Q3,Neighbor,Blended,ImgProblem,Notes,Notes – neighbors
247254123,0.369,0.1143,0.369,0.1143,11.5586,0.0082,1,-,0.006999,n,n,0,2,-,m,n,n,,
247282522,1.4599,0.6371,1.4599,0.6371,44.2338,0.0764,4,-,0.007228,n,n,0,2,2,m,n,n,,possible 2MASS companion
247288261,0.7944,0.1597,0.7944,0.1597,0.3973,0.0232,0,half,0.006604,n,n,0,2,-,y,y,n,,brighter neighbor blended in PSF
247297768,3.7278,0.4701,3.7278,0.4701,1.6841,0.1291,1,half,0.008926,y,n,0,2,-,y,n,n,,
247306074,10.5075,0.505,10.5075,0.505,-9999,-9999,0,-,0.007899,n,n,0,-,-,y,n,n,,
247308468,70,0.3815,0.9815,0.0862,-9999,-9999,0,-,0.007684,n,n,0,-,-,y,n,n,,
247318877,11.9257,0.8709,11.9257,0.8709,5.9266,0.0665,0,half,0.00763,n,n,0,2,-,n,n,n,,
247337843,10.5444,0.61,10.5444,0.61,4.9582,0.0629,2,half,0.00746,y,n,1,2,2,y,m,n,phase drift; the spot modulation drops out in the second half of the campaign,
247363759,9.6938,0.2703,9.6938,0.2703,4.862,0.1105,1,half,0.008125,y,n,0,2,-,n,n,n,,Bright strip down one column of the TPF
247369717,6.462,0.5028,6.462,0.5028,11.8317,0.1546,2,-,0.00822,y,n,2,1,2,m,n,n,significant variations in the double-dip pattern; twice the first period is probably the true period,possible 2MASS companion
247381505,33.0438,0.2382,33.0438,0.2382,7.1037,0.0199,3,-,0.007383,n,n,2,2,2,y,m,n,noisy; nothing phases well,similar brightness neighbor with slightly overlapping PSF
247395996,1.4382,0.7448,1.4382,0.7448,0.7179,0.0444,0,half,0.00849,n,n,0,2,-,n,n,n,,
247441866,0.2579,0.0204,0.2579,0.0204,0.5182,0.0197,2,dbl-maybe,0.007594,n,n,1,2,2,n,n,n,first and second peaks are at the same height; both low amplitude,
247444723,26.1428,0.4688,26.1428,0.4688,9.4797,0.2003,1,-,0.007293,y,m,1,1,-,n,n,n,"first period is clearly too long, second is too short, but there's not a clear repeating set of double-dips",
247523445,38.0683,0.0027,-9999,-9999,-9999,-9999,0,-,0.008187,-,-,3,-,-,n,n,n,,
247556609,70,0.5077,11.2135,0.06,-9999,-9999,0,-,0.007359,y,n,2,-,-,n,n,n,no clear repeating pattern,
247560983,0.4951,0.1043,0.4951,0.1043,68.4061,0.0201,2,-,0.006234,n,n,0,2,2,n,n,n,,
247589423,14.9528,0.5361,14.9528,0.5361,6.6626,0.2284,2,-,0.007715,y,n,0,2,2,n,n,n,phase drift,
247592661,2.4996,0.3927,2.4996,0.3927,1.8801,0.16,4,-,0.006951,y,y,0,0,2,m,m,n,phase drift but the first and second periods look distinct and phase OK,possible 2MASS companion
247603230,0.5091,0.039,0.5091,0.039,32.6843,0.0225,5,-,0.005524,n,n,0,2,2,n,n,n,,
247610046,44.2338,0.0862,44.2338,0.0862,5.8007,0.0204,2,-,0.00716,n,n,2,0,2,n,n,n,,
247611242,11.7853,0.4948,11.7853,0.4948,5.7452,0.3678,1,half-maybe,0.00801,y,n,0,2,-,y,y,n,,
247641327,35.8001,0.1791,35.8001,0.1791,12.8433,0.0609,2,-,0.007805,n,n,2,2,2,y,n,n,first period is a long trend but second and third periods don't really phase,
247649755,21.7831,0.8095,21.7831,0.8095,11.2555,0.0834,0,half,0.007657,y,n,0,2,-,n,n,n,,
