K2 ID,Dataset Name,Campaign,Object type,RA (J2000),Dec (J2000),Target Type,Ref,Actual Start Time,Actual End Time,Investigation ID,R Mag,R Mag Err,J Mag,J Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Module,Output,Channel,High-Level Science Products
integer,string,integer,substring,ra,dec,ustring,integer,datetime,datetime,string,float,float,float,float,float,string,integer,string,string,string,string,string,integer,integer,integer,integer
247381505,KTWO247381505-C13,13,STAR,04 55 46.664,+21 14 50.18,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,,,11.777,0.020,14.113,JHK,,,,557-011818,04554665+2114503,AAA-222-111-000-0-0,13,2,42,10
247395996,KTWO247395996-C13,13,STAR,04 55 14.848,+21 21 50.34,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,,,12.169,0.021,14.564,JHK,,,,557-011753,04551484+2121505,AAA-222-111-000-0-0,13,2,42,10
247441866,KTWO247441866-C13,13,STAR,04 38 43.400,+21 44 14.47,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,,,11.950,0.022,14.261,JHK,,,6003-301-6-0186-0602,559-010487,04384339+2144143,AAA-222-111-000-0-0,19,2,66,10
247444723,KTWO247444723-C13,13,STAR,04 49 35.864,+21 45 39.00,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13049_GO13050_GO13064_GO13077_GO13090,13.291,0.080,10.097,0.021,13.547,gri,,,,559-011431,04493586+2145391,AAA-222-111-000-0-0,13,1,41,10
247523445,KTWO247523445-C13,13,STAR,04 30 00.490,+22 22 30.49,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,,,12.562,0.021,14.978,JHK,,,,,04300048+2222304,AAA-222-111-000-0-0,19,4,68,10
247556609,KTWO247556609-C13,13,STAR,04 30 45.004,+22 37 48.32,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13004_GO13008_GO13018_GO13023_GO13064_GO13073_GO13077_GO13090,14.246,0.047,10.624,0.026,13.652,gri,,,4334-301-4-0173-0096,564-010571,04304499+2237482,AAA-222-111-000-0-0,19,4,68,10
247560983,KTWO247560983-C13,13,STAR,04 47 24.202,+22 39 48.70,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,,,12.883,0.021,15.309,JHK,,,,,04472420+2239486,AAA-222-111-000-0-0,14,2,46,10
247589423,KTWO247589423-C13,13,STAR.Exoplanet,04 29 38.990,+22 52 57.80,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13049_GO13064_GO13077_GO13090,10.746,0.040,9.096,0.022,10.771,gri,,,,565-010846,04293897+2252579,AAA-212-111-000-0-0,19,4,68,10
247592661,KTWO247592661-C13,13,STAR,04 30 38.192,+22 54 28.88,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13010_GO13018_GO13023_GO13049_GO13064_GO13071_GO13077_GO13082_GO13090,12.455,0.041,9.248,0.023,11.937,gri,,,,565-010893,04303819+2254289,AAA-111-111-000-0-0,19,4,68,10
247603230,KTWO247603230-C13,13,STAR,04 35 13.175,+22 59 20.56,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13004_GO13008_GO13009_GO13018_GO13023_GO13064_GO13073_GO13077_GO13123,,,11.127,0.022,13.438,JHK,,,,565-011046,04351316+2259205,AAA-222-111-000-0-0,19,1,65,10
247610046,KTWO247610046-C13,13,STAR,04 36 38.034,+23 02 31.19,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13004_GO13008_GO13016_GO13018_GO13023_GO13064_GO13073_GO13077_GO13090_GO13123,13.777,0.060,10.155,0.023,13.117,gri,,,,566-010861,04363802+2302312,AAA-222-111-000-0-0,19,1,65,10
247611242,KTWO247611242-C13,13,STAR,04 47 26.189,+23 03 03.32,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13023_GO13039_GO13049_GO13050_GO13064_GO13077_GO13090_GO13123_GO13903,10.223,0.030,8.690,0.039,10.908,gri,22253,1831-1894-1,,566-011754,04472618+2303032,AAA-111-111-000-0-0,14,2,46,10
247641327,KTWO247641327-C13,13,STAR,04 36 58.129,+23 16 38.60,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13064_GO13073_GO13077,,,13.529,0.022,16.042,JHK,,,,,04365812+2316385,AAA-222-111-000-0-0,19,1,65,10
247649755,KTWO247649755-C13,13,STAR,04 42 52.171,+23 20 22.45,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13014_GO13018_GO13023_GO13064_GO13073_GO13077_GO13090_GO13123,14.484,0.010,10.885,0.027,13.837,gri,,,,567-011550,04425217+2320224,AAA-222-111-000-0-0,14,3,47,10
247744104,KTWO247744104-C13,13,STAR,04 47 09.758,+24 01 12.12,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13010_GO13018_GO13023_GO13049_GO13064_GO13071_GO13077_GO13090_GO13123,11.666,0.040,9.281,0.022,11.511,gri,,,,571-012274,04470974+2401124,AAA-212-111-000-0-0,14,4,48,10
247755982,KTWO247755982-C13,13,STAR,04 27 03.146,+24 06 15.78,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,,,11.489,0.022,13.908,JHK,,,,571-011345,04270314+2406159,AAA-222-111-000-0-0,20,2,70,10
247783757,KTWO247783757-C13,13,STAR,04 43 24.758,+24 17 48.01,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13049_GO13064_GO13071_GO13073_GO13077_GO13090,13.461,0.080,10.191,0.020,12.928,gri,,,,572-011971,04432476+2417479,AAA-222-111-000-0-0,14,3,47,10
247793419,KTWO247793419-C13,13,STAR,04 55 49.066,+24 21 45.82,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077_GO13090_GO13123,14.380,0.040,10.934,0.021,13.850,gri,,,,572-013038,04554905+2421458,AAA-222-111-000-0-0,9,3,27,10
247796367,KTWO247796367-C13,13,STAR,05 00 38.941,+24 22 58.20,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13064_GO13073_GO13077,17.796,0.006,13.089,0.021,16.905,gri,,,6505-301-3-0058-0853,,05003894+2422581,AAA-222-111-000-0-0,9,1,25,10
247799152,KTWO247799152-C13,13,STAR,04 28 03.709,+24 24 07.73,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,16.824,0.005,12.249,0.022,16.002,gri,,,3559-301-1-0039-0296,,04280370+2424077,AAA-222-111-000-0-0,20,2,70,10
247813004,KTWO247813004-C13,13,STAR,04 36 54.220,+24 29 55.99,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,16.630,0.005,12.515,0.022,15.922,gri,,,3559-301-1-0053-0009,,04365421+2429559,AAA-222-111-000-0-0,20,1,69,10
247829435,KTWO247829435-C13,13,STAR,04 46 44.990,+24 36 40.40,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13064_GO13073_GO13077,18.420,0.008,13.079,0.023,17.326,gri,,,3512-301-2-0064-0449,,04464498+2436404,AAA-222-111-000-0-0,14,4,48,10
247857331,KTWO247857331-C13,13,STAR,04 49 12.986,+24 48 10.23,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13002_GO13008_GO13023_GO13039_GO13049_GO13064_GO13071_GO13077_GO13090_GO13097_GO13122_GO13903,9.174,0.020,7.582,0.027,9.250,gri,22394,1835-658-1,,575-012137,04491296+2448103,AAA-111-111-000-0-0,14,4,48,10
247862511,KTWO247862511-C13,13,STAR,04 30 55.782,+24 50 17.34,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077_GO13123,,,11.588,0.022,13.999,JHK,,,3559-301-2-0043-0318,575-011389,04305575+2450174,AAA-222-111-000-0-0,20,2,70,10
247864824,KTWO247864824-C13,13,STAR,04 35 03.311,+24 51 14.50,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13049_GO13064_GO13073_GO13077_GO13090,14.067,0.046,10.790,0.021,13.565,gri,,,,575-011597,04350330+2451146,AAA-222-111-000-0-0,20,1,69,10
247899959,KTWO247899959-C13,13,STAR,04 32 45.316,+25 05 34.22,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,,,12.075,0.021,14.365,JHK,,,3512-301-3-0043-0423,576-011653,04324532+2505340,AAA-222-111-000-0-0,20,1,69,10
247969085,KTWO247969085-C13,13,STAR,04 47 55.702,+25 34 47.10,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077_GO13090,14.168,0.030,10.631,0.021,13.573,gri,,,,578-012650,04475569+2534471,AAA-222-111-000-0-0,15,1,49,10
247970815,KTWO247970815-C13,13,STAR,04 40 09.152,+25 35 33.12,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13023_GO13049_GO13064_GO13077_GO13090_GO13123_GO13903,10.138,0.040,8.168,0.023,10.079,gri,,1834-179-1,,578-012454,04400920+2535326,AAA-111-111-000-0-0,15,2,50,10
248045685,KTWO248045685-C13,13,STAR,04 47 41.798,+26 09 00.83,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13023_GO13039_GO13049_GO13064_GO13071_GO13077_GO13090_GO13122_GO13903,10.124,0.030,8.430,0.018,10.151,gri,22271,1835-809-1,,581-012504,04474178+2609009,AAA-111-111-000-0-0,15,1,49,10
248170923,KTWO248170923-C13,13,STAR,04 49 57.976,+27 12 36.77,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077_GO13123,,,11.067,0.020,13.331,JHK,,,,587-013555,04495795+2712369,AAA-222-111-000-0-0,10,3,31,10
248199652,KTWO248199652-C13,13,STAR,04 55 42.582,+27 28 38.42,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077,,,12.896,0.022,15.179,JHK,,,,,04554258+2728384,AAA-222-111-000-0-0,10,4,32,10
