IDX,RA,DEC,PERIOD
545,70.258085,19.909414,-99.00
551,70.578425,17.693971,-99.00
552,70.712218,19.487176,-99.00
553,70.717377,23.339572,-99.00
554,70.743692,20.604842,-99.00
557,70.853146,24.296678,-99.00
559,71.118194,17.853077,-99.00
560,71.146450,17.451193,-99.00
561,71.182332,18.408245,-99.00
562,71.251052,17.272151,-99.00
563,71.331726,13.574288,-99.00
564,71.385686,16.598257,-99.00
568,71.578308,3.636337,13.25
569,71.613086,17.626616,-99.00
574,71.787224,20.882316,-99.00
575,71.790641,24.020036,-99.00
577,71.815720,13.557083,-99.00
578,71.850921,22.663502,-99.00
584,71.982110,25.579765,-99.00
586,72.123938,20.446023,-99.00
589,72.248293,15.604844,-99.00
590,72.293994,13.811453,-99.00
593,72.399430,21.760829,-99.00
594,72.402452,17.033096,-99.00
595,72.491552,27.210213,-99.00
596,72.569473,20.625824,-99.00
600,72.889912,14.286373,-99.00
601,72.954948,17.273721,-99.00
609,73.811882,21.364020,-99.00
610,73.927471,27.477342,-99.00
611,73.944435,21.247301,-99.00
612,73.954436,24.362720,-99.00
619,74.490792,14.451987,-99.00
622,74.592708,19.317143,-99.00
624,74.659007,16.222433,-99.00
630,75.013725,15.914769,-99.00
634,75.316679,16.144668,-99.00
646,76.418241,6.465176,10.41
660,77.787024,17.574066,-99.00
665,78.598514,20.531555,-99.00
732,65.456565,19.485724,0.20
735,66.904588,20.944118,-9999.00
737,62.776743,12.796728,0.90
742,80.284356,19.615442,-9999.00
745,69.242231,23.277376,-9999.00
749,65.434885,20.402927,-9999.00
750,68.806471,20.133708,-9999.00
758,67.818192,15.003366,-9999.00
759,75.162296,24.382807,-9999.00
763,65.441169,20.395722,-9999.00
767,71.687535,24.611184,-9999.00
774,65.199952,15.235827,43.59
