IDX,RA,DEC,RA_HMS,DEC_DMS,PERIOD
201,61.644250,13.549110,04:06:34.62,+13:32:56.796,16.68
202,58.721670,16.315640,03:54:53.2008,+16:18:56.304,6.04
203,64.367210,14.901080,04:17:28.1304,+14:54:03.888,2.38
205,55.946120,20.860110,03:43:47.0688,+20:51:36.396,12.32
206,67.641170,14.748080,04:30:33.8808,+14:44:53.088,18.41
208,68.952120,13.288060,04:35:48.5088,+13:17:17.016,13.36
233,44.171895,35.376271,02:56:41.2548,+35:22:34.576,22.15
249,48.907713,37.403983,03:15:37.851,+37:24:14.3381,1.29
286,58.170881,25.804443,03:52:41.0115,+25:48:15.9959,14.66
295,58.988199,18.432290,03:55:57.1679,+18:25:56.2451,23.12
304,59.790565,26.476098,03:59:09.7356,+26:28:33.9532,15.26
305,59.809109,22.043849,03:59:14.1863,+22:02:37.856,20.73
312,60.187282,13.906334,04:00:44.9477,+13:54:22.8038,2.66
331,62.167401,23.557117,04:08:40.1762,+23:33:25.6208,21.02
370,64.448721,13.661776,04:17:47.6931,+13:39:42.3922,8.69
376,64.544953,23.284651,04:18:10.7887,+23:17:04.745,1.86
385,64.874106,21.753884,04:19:29.7855,+21:45:13.9838,-99.00
401,65.678592,20.570143,04:22:42.8621,+20:34:12.5141,-99.00
413,66.030945,22.118870,04:24:07.4267,+22:07:07.9309,-99.00
431,66.354276,17.915343,04:25:25.0261,+17:54:55.233,-99.00
433,66.424310,19.013223,04:25:41.8343,+19:00:47.6021,-99.00
441,66.698411,21.234921,04:26:47.6187,+21:14:05.716,-99.00
446,66.902043,19.445907,04:27:36.4903,+19:26:45.2648,-99.00
450,66.995682,18.500247,04:27:58.9636,+18:30:00.8881,11.13
451,66.996725,18.759082,04:27:59.2141,+18:45:32.6941,-99.00
453,67.045288,16.470932,04:28:10.869,+16:28:15.3541,-99.00
455,67.250637,16.346330,04:29:00.1529,+16:20:46.788,8.80
456,67.254221,18.673707,04:29:01.0131,+18:40:25.3448,-99.00
458,67.295795,26.246756,04:29:10.9907,+26:14:48.322,18.02
459,67.301463,15.273896,04:29:12.3511,+15:16:26.0249,-99.00
463,67.412476,22.882726,04:29:38.9943,+22:52:57.8122,-99.00
464,67.482249,16.914046,04:29:55.7398,+16:54:50.5642,-99.00
469,67.659145,22.908023,04:30:38.1948,+22:54:28.8821,-99.00
471,67.687522,22.630087,04:30:45.0053,+22:37:48.3128,-99.00
484,68.120755,17.904630,04:32:28.9812,+17:54:16.6691,-99.00
